,label,pred
0,[0 0 0 1],[2.3688788e-05 8.6143766e-05 8.1866265e-06 9.9988198e-01]
1,[0 1 0 0],[2.2102767e-04 9.8523128e-01 1.2671568e-02 1.8761177e-03]
2,[1 0 0 0],[9.9825579e-01 9.1296219e-04 4.7688742e-04 3.5439263e-04]
3,[0 0 1 0],[7.2232026e-05 3.1591384e-04 9.9952936e-01 8.2491562e-05]
4,[1 0 0 0],[9.9770516e-01 9.4234291e-04 9.5811789e-04 3.9436447e-04]
5,[1 0 0 0],[0.9874828  0.00365657 0.00168394 0.00717672]
6,[0 1 0 0],[0.00824523 0.8848484  0.07093292 0.03597339]
7,[0 0 0 1],[1.2532085e-05 9.0388967e-05 6.1675878e-06 9.9989092e-01]
8,[0 0 0 1],[4.6680492e-04 7.9185721e-03 4.5193374e-05 9.9156946e-01]
9,[1 0 0 0],[0.01782135 0.03034475 0.00552889 0.94630504]
10,[0 0 1 0],[2.7424032e-06 2.8941598e-05 9.9996471e-01 3.6401968e-06]
11,[0 0 0 1],[7.5551914e-05 3.5320770e-04 2.7416583e-05 9.9954385e-01]
12,[0 0 0 1],[9.2108181e-05 4.3674969e-04 2.5602507e-05 9.9944550e-01]
13,[1 0 0 0],[9.9939024e-01 3.1556154e-04 1.5867430e-04 1.3545652e-04]
14,[0 0 1 0],[1.77576934e-04 1.05573959e-03 9.98659968e-01 1.06659165e-04]
15,[0 0 1 0],[2.4439360e-05 1.4659870e-04 9.9982506e-01 3.9818310e-06]
16,[0 0 0 1],[7.6305814e-06 1.3353274e-04 2.2511942e-06 9.9985659e-01]
17,[0 0 0 1],[1.4977506e-04 9.1404309e-03 1.6578588e-04 9.9054408e-01]
18,[1 0 0 0],[9.9921370e-01 4.1431974e-04 2.3354993e-04 1.3837374e-04]
19,[0 0 0 1],[0.00936901 0.01873513 0.00118187 0.97071403]
20,[0 0 0 1],[4.1894023e-06 1.3244552e-04 3.2818832e-06 9.9986005e-01]
21,[0 0 1 0],[2.3003771e-05 1.2435720e-04 9.9983501e-01 1.7603186e-05]
22,[0 0 0 1],[0.02660039 0.9135178  0.0026681  0.05721379]
23,[0 0 1 0],[6.7736633e-04 1.5013360e-03 9.9762648e-01 1.9482827e-04]
24,[1 0 0 0],[9.9996352e-01 2.8078532e-05 6.0842804e-06 2.2646659e-06]
25,[0 1 0 0],[9.4402367e-06 1.9739427e-04 1.0267313e-05 9.9978298e-01]
26,[0 0 1 0],[2.5163054e-05 2.4637900e-04 9.9971002e-01 1.8373763e-05]
27,[0 0 0 1],[7.5776540e-03 3.3882937e-01 4.8229907e-04 6.5311068e-01]
28,[0 0 0 1],[8.1213965e-04 6.1303517e-04 1.5394362e-04 9.9842083e-01]
29,[0 0 0 1],[8.3892963e-05 9.7154756e-04 1.4694946e-04 9.9879754e-01]
30,[0 0 0 1],[3.6475592e-04 1.5744020e-03 2.7803416e-04 9.9778289e-01]
31,[0 0 1 0],[2.3121217e-04 2.3925803e-03 9.9697042e-01 4.0578999e-04]
32,[0 0 0 1],[1.2554452e-04 2.1705981e-03 8.2334111e-05 9.9762148e-01]
33,[1 0 0 0],[9.9915934e-01 7.9014263e-04 2.4953479e-05 2.5495390e-05]
34,[0 0 1 0],[0.0667059  0.00582301 0.9253539  0.00211721]
35,[0 0 1 0],[5.0733626e-05 1.6814575e-04 9.9975032e-01 3.0711461e-05]
36,[0 1 0 0],[4.8462674e-04 5.7352155e-01 1.7714413e-02 4.0827939e-01]
37,[0 0 1 0],[2.6893307e-05 1.4292037e-04 9.9980444e-01 2.5762209e-05]
38,[0 0 1 0],[6.5013883e-05 1.7759108e-04 9.9971527e-01 4.2058182e-05]
39,[0 0 1 0],[6.0958799e-05 1.4651843e-04 9.9976581e-01 2.6735159e-05]
40,[0 0 0 1],[6.5272829e-06 5.7107536e-05 2.9767573e-06 9.9993336e-01]
41,[0 0 0 1],[5.4093252e-05 5.0543534e-04 2.2637680e-05 9.9941790e-01]
42,[0 0 0 1],[2.068273e-04 9.188244e-04 7.819673e-05 9.987961e-01]
43,[1 0 0 0],[0.9123274  0.06936197 0.0046857  0.01362488]
44,[0 0 0 1],[1.7261245e-04 9.1357283e-02 9.9122990e-05 9.0837109e-01]
45,[0 0 1 0],[2.4227565e-04 7.7334145e-04 9.9878508e-01 1.9929050e-04]
46,[1 0 0 0],[9.99935031e-01 4.37005074e-05 1.31084635e-05 8.12334929e-06]
47,[0 0 1 0],[1.8743931e-04 7.1433047e-04 9.9899977e-01 9.8484627e-05]
48,[0 0 0 1],[1.3496906e-04 1.9483209e-03 1.7603283e-04 9.9774063e-01]
49,[0 0 0 1],[1.00905316e-04 1.74289662e-03 2.63266527e-04 9.97893035e-01]
50,[0 0 1 0],[8.1646006e-04 3.7958364e-03 9.9494898e-01 4.3873000e-04]
51,[0 0 0 1],[2.0497333e-05 2.6406703e-04 9.3295366e-06 9.9970609e-01]
52,[0 0 0 1],[0.00136635 0.01075765 0.06475034 0.9231256 ]
53,[1 0 0 0],[9.9976152e-01 1.3484679e-04 8.8607572e-05 1.5114623e-05]
54,[1 0 0 0],[9.9944359e-01 2.5832327e-04 1.7007558e-04 1.2800423e-04]
55,[1 0 0 0],[9.9641776e-01 2.1775274e-03 1.1735414e-03 2.3108399e-04]
56,[0 0 0 1],[2.2430859e-04 1.9229380e-02 2.9308174e-05 9.8051697e-01]
57,[0 0 1 0],[1.8461791e-03 5.0990195e-03 9.9250048e-01 5.5432349e-04]
58,[0 0 1 0],[9.6532691e-05 3.8704989e-04 9.9948847e-01 2.7955777e-05]
59,[0 0 1 0],[1.82156422e-04 9.80889308e-04 9.98731077e-01 1.05836676e-04]
60,[0 0 1 0],[0.00850082 0.00920056 0.9787306  0.00356798]
61,[0 0 0 1],[1.3159921e-05 3.5737452e-05 4.5390725e-06 9.9994659e-01]
62,[0 1 0 0],[0.04161915 0.37513685 0.09445083 0.48879313]
